Aberdonian	Aberdeen
Sudanese	Sudan
Sudetes	Sudetenland
Sumerian	Sumer
Surinamese	Surinam
Swazi	Swaziland
Swedish	Sweden
Swiss	Switzerland
Sydney	Sydney
Syracusan	Syracuse
Syrian	Syria
São Toméan	São Tomé and Príncipe
Taiwanese	Taiwan
Tajikistani	Tajikistan
Tanzanian	Tanzania
Tapatío	Guadalajara
Taranaki	Taranaki
Tarantine	Taranto
Tasman	Tasman
Tasmanian	Tasmania
Terran	Earth
Texan	Texas
Thai	Thailand
Theban	Thebes
Thessalonian	Thessaloniki
Timorese	East Timor
Togolese	Togo
Tokyoite	Tokyo
Tongan	Tonga
Toronto	Toronto
Tournaisian	Tournai
Transylvanian	Transylvania
Tridentine	Trent
Triestine	Trieste
Trifluvien	Trois-Rivières
Trinidadian	Trinidad and Tobago
Tripolitan	Tripoli
Trojan	Troy
Tucsonan	Tucson
Tulsan	Tulsa
Tunisian	Tunisia
Turinese	Turin
Turkish	Turkey
Turkmen	Turkmenistan
Tuvaluan	Tuvalu
Ugandan	Uganda
Ukrainian	Ukraine
Uranian	Uranus
Uruguayan	Uruguay
Utahn	Utah
Utopian	Utopia
Uzbekistani	Uzbekistan
Valencian	Valencia
Varsovian	Warsaw
Venerian	Venus
Venetian	Venice
Venezuelan	Venezuela
Veracruzano	Veracruz
Veronese	Verona
Vicentine	Vicenza
Vichyssois	Vichy
Victorian	Victoria
Viennese	Vienna
Vietnamese	Vietnam
Virgin Island	Virgin Islands
Virginian	Virginia
Waikato	Waikato
Wallachian	Wallachia
Wallisian	Wallis and Futuna
Wanganui	Manawatu-Wanganui
Washingtonian	Washington
Wellington	Wellington
Welsh	Wales
West Australian	Western Australia
West Coast	West Coast
West Virginian	West Virginia
Xalapeño	Xalapa
Xanthian	Xanthi
Yemeni	Yemen
Yugoslavian	Yugoslavia
Yukon	Yukon
Zairean	Zaire
Zambian	Zambia
Zimbabwean	Zimbabwe
Zulu	Zululand
